Date,MA200
2023-01-03,
2023-01-04,
2023-01-05,
2023-01-06,
2023-01-09,
2023-01-10,
2023-01-11,
2023-01-12,
2023-01-13,
2023-01-17,
2023-01-18,
2023-01-19,
2023-01-20,
2023-01-23,
2023-01-24,
2023-01-25,
2023-01-26,
2023-01-27,
2023-01-30,
2023-01-31,
2023-02-01,
2023-02-02,
2023-02-03,
2023-02-06,
2023-02-07,
2023-02-08,
2023-02-09,
2023-02-10,
2023-02-13,
2023-02-14,
2023-02-15,
2023-02-16,
2023-02-17,
2023-02-21,
2023-02-22,
2023-02-23,
2023-02-24,
2023-02-27,
2023-02-28,
2023-03-01,
2023-03-02,
2023-03-03,
2023-03-06,
2023-03-07,
2023-03-08,
2023-03-09,
2023-03-10,
2023-03-13,
2023-03-14,
2023-03-15,
2023-03-16,
2023-03-17,
2023-03-20,
2023-03-21,
2023-03-22,
2023-03-23,
2023-03-24,
2023-03-27,
2023-03-28,
2023-03-29,
2023-03-30,
2023-03-31,
2023-04-03,
2023-04-04,
2023-04-05,
2023-04-06,
2023-04-10,
2023-04-11,
2023-04-12,
2023-04-13,
2023-04-14,
2023-04-17,
2023-04-18,
2023-04-19,
2023-04-20,
2023-04-21,
2023-04-24,
2023-04-25,
2023-04-26,
2023-04-27,
2023-04-28,
2023-05-01,
2023-05-02,
2023-05-03,
2023-05-04,
2023-05-05,
2023-05-08,
2023-05-09,
2023-05-10,
2023-05-11,
2023-05-12,
2023-05-15,
2023-05-16,
2023-05-17,
2023-05-18,
2023-05-19,
2023-05-22,
2023-05-23,
2023-05-24,
2023-05-25,
2023-05-26,
2023-05-30,
2023-05-31,
2023-06-01,
2023-06-02,
2023-06-05,
2023-06-06,
2023-06-07,
2023-06-08,
2023-06-09,
2023-06-12,
2023-06-13,
2023-06-14,
2023-06-15,
2023-06-16,
2023-06-20,
2023-06-21,
2023-06-22,
2023-06-23,
2023-06-26,
2023-06-27,
2023-06-28,
2023-06-29,
2023-06-30,
2023-07-03,
2023-07-05,
2023-07-06,
2023-07-07,
2023-07-10,
2023-07-11,
2023-07-12,
2023-07-13,
2023-07-14,
2023-07-17,
2023-07-18,
2023-07-19,
2023-07-20,
2023-07-21,
2023-07-24,
2023-07-25,
2023-07-26,
2023-07-27,
2023-07-28,
2023-07-31,
2023-08-01,
2023-08-02,
2023-08-03,
2023-08-04,
2023-08-07,
2023-08-08,
2023-08-09,
2023-08-10,
2023-08-11,
2023-08-14,
2023-08-15,
2023-08-16,
2023-08-17,
2023-08-18,
2023-08-21,
2023-08-22,
2023-08-23,
2023-08-24,
2023-08-25,
2023-08-28,
2023-08-29,
2023-08-30,
2023-08-31,
2023-09-01,
2023-09-05,
2023-09-06,
2023-09-07,
2023-09-08,
2023-09-11,
2023-09-12,
2023-09-13,
2023-09-14,
2023-09-15,
2023-09-18,
2023-09-19,
2023-09-20,
2023-09-21,
2023-09-22,
2023-09-25,
2023-09-26,
2023-09-27,
2023-09-28,
2023-09-29,
2023-10-02,
2023-10-03,
2023-10-04,
2023-10-05,
2023-10-06,
2023-10-09,
2023-10-10,
2023-10-11,
2023-10-12,
2023-10-13,
2023-10-16,
2023-10-17,
2023-10-18,213.62009956359864
2023-10-19,214.1801495742798
2023-10-20,214.67189960479737
2023-10-23,215.18059963226318
2023-10-24,215.69789966583252
2023-10-25,216.16114967346192
2023-10-26,216.5956996536255
2023-10-27,217.01609966278076
2023-10-30,217.38509967803955
2023-10-31,217.7772996520996
2023-11-01,218.14814964294433
2023-11-02,218.59679962158202
2023-11-03,219.06074966430663
2023-11-06,219.4899996948242
2023-11-07,219.88214965820313
2023-11-08,220.27324966430663
2023-11-09,220.60099967956543
2023-11-10,220.87289962768554
2023-11-13,221.10194969177246
2023-11-14,221.45569969177245
2023-11-15,221.8037996673584
2023-11-16,222.0646996307373
2023-11-17,222.2948496246338
2023-11-20,222.52294967651366
2023-11-21,222.7551496887207
2023-11-22,222.94214973449706
2023-11-24,223.11294975280762
2023-11-27,223.2567497253418
2023-11-28,223.50589973449706
2023-11-29,223.75339973449707
2023-11-30,223.90754974365234
2023-12-01,224.0304997253418
2023-12-04,224.19819976806642
2023-12-05,224.35024978637696
2023-12-06,224.56024978637694
2023-12-07,224.76914978027344
2023-12-08,224.9779997253418
2023-12-11,225.19229972839355
2023-12-12,225.33919967651366
2023-12-13,225.507099609375
2023-12-14,225.74849960327148
2023-12-15,226.06149963378905
2023-12-18,226.33294967651366
2023-12-19,226.64999969482423
2023-12-20,226.94714965820313
2023-12-21,227.3096496582031
2023-12-22,227.70774963378906
2023-12-26,228.12359954833985
2023-12-27,228.55839958190919
2023-12-28,228.9079995727539
2023-12-29,229.2481495666504
